date,temperature,dew_point_temperature,sunrise,precip_prob,humidity,wind_speed,icon_clear,icon_cloudy,icon_fog,icon_partly-cloudy,icon_rain,icon_sleet,icon_snow
20150101,14.23333333,10.93333333,1,0,0.69,0.78,1,0,0,0,0,0,0
20150101,17.2,11.7,0,0,0.74,0.43,1,0,0,0,0,0,0
20150101,18.3,12.2,0,0,0.8,0.21,1,0,0,0,0,0,0
20150101,18.9,12.2,0,0,0.81,0.7,1,0,0,0,0,0,0
20150101,19.4,12.2,0,0,0.84,0.69,1,0,0,0,0,0,0
20150101,18.9,12.2,0,0,0.85,0.88,1,0,0,0,0,0,0
20150101,19.4,12.8,0,0,0.85,1.13,1,0,0,0,0,0,0
20150101,16.1,11.7,0,0,0.88,1.05,0,0,0,1,0,0,0
20150101,17.2,12.2,0,0,0.91,1.07,0,0,0,1,0,0,0
20150101,18.3,13.3,0,0,0.91,1.11,0,0,0,1,0,0,0
20150101,17.8,13.9,0,0,0.93,1.55,0,0,0,1,0,0,0
20150101,17.2,13.9,0,0,0.94,1.35,0,1,0,0,0,0,0
20150101,16.7,13.3,0,0,0.93,1.27,0,1,0,0,0,0,0
20150101,13.9,11.7,0,0,0.95,1.6,0,1,0,0,0,0,0
20150101,12.9,11.85,1,0,0.92,1.73,0,1,0,0,0,0,0
20150101,13.3,11.7,1,0,0.9,1.92,0,1,0,0,0,0,0
20150101,13.3,11.7,1,0,0.91,2.86,0,1,0,0,0,0,0
20150101,15.5,13.73333333,1,0,0.86,3.96,0,1,0,0,0,0,0
20150101,16.4,14.4,1,0,0.76,3.96,0,0,0,1,0,0,0
20150101,17.2,14.4,1,0,0.66,4.48,1,0,0,0,0,0,0
20150101,17.2,14.4,1,0,0.61,5.25,1,0,0,0,0,0,0
20150101,17.9,14.2,1,0,0.58,5.09,1,0,0,0,0,0,0
20150101,19.4,14.4,1,0,0.55,4.62,1,0,0,0,0,0,0
20150101,22.2,14.4,1,0,0.55,4.19,1,0,0,0,0,0,0
20150101,23.3,15,1,0,0.57,3.36,1,0,0,0,0,0,0
20150101,23.9,15,0,0,0.63,1.74,1,0,0,0,0,0,0
